region,AUC_28,AUC_32,AUC_37
CINGULATE_left,0.8753150481838399,0.8179976851851851,0.7494138226208641
CINGULATE_right,0.8825796886582654,0.7527199074074076,0.7163645837210167
FCLp-subsc-FCLa-INSULA_left,0.8781319495922906,0.857175925925926,0.7983549815772824
FCLp-subsc-FCLa-INSULA_right,0.9122312824314308,0.8886574074074074,0.8584986415571849
FCMpost-SpC_left,0.8729429206819865,0.80625,0.7448732740332725
FCMpost-SpC_right,0.8805040770941437,0.8082175925925926,0.7872269157765455
FColl-SRh_left,0.8861378799110452,0.8307291666666666,0.7882317912836354
FColl-SRh_right,0.9100074128984432,0.8670138888888889,0.8379545200789014
FIP_left,0.935211267605634,0.8686921296296295,0.783430719416428
FIP_right,0.9645663454410676,0.8560185185185185,0.7659756596821615
FPO-SCu-ScCal_left,0.9054114158636026,0.8590856481481481,0.7851055119282445
FPO-SCu-ScCal_right,0.9091178650852482,0.8321759259259259,0.7691763742602999
LARGE_CINGULATE_left,0.8696812453669385,0.7860532407407408,0.7620305928765492
LARGE_CINGULATE_right,0.904373610081542,0.7291087962962962,0.7089954966690237
Lobule_parietal_sup_left,0.9433654558932542,0.8870949074074074,0.7867430868286874
Lobule_parietal_sup_right,0.9687175685693106,0.8619791666666667,0.7723770888384384
OCCIPITAL_left,0.9227575982209044,0.8366898148148149,0.7876735271130297
OCCIPITAL_right,0.9338769458858412,0.8395254629629629,0.7571550857865942
SC-SPeC_left,0.9148999258710157,0.8145833333333333,0.7442777922512933
SC-SPeC_right,0.8707190511489992,0.7671296296296296,0.741077077673155
SC-SPoC_left,0.9492957746478874,0.8907407407407407,0.7696974208195319
SC-SPoC_right,0.9067457375833948,0.8273148148148148,0.7493766050094905
SC-sylv_left,0.9546330615270572,0.8641782407407407,0.7794112173880682
SC-sylv_right,0.938324684951816,0.8174768518518518,0.7417469946778816
SFinf-BROCA-SPeCinf_left,0.8612305411415864,0.7927662037037037,0.7245524582232312
SFinf-BROCA-SPeCinf_right,0.8668643439584878,0.7877314814814814,0.7545126353790614
SFint-FCMant_left,0.8229799851742031,0.797800925925926,0.7662361829617774
SFint-FCMant_right,0.9199406968124536,0.7512731481481482,0.739811678886449
SFint-SR_left,0.8759080800593032,0.7864004629629631,0.722207748706688
SFint-SR_right,0.8920681986656782,0.7787037037037037,0.7414120361755183
SFinter-SFsup_left,0.8729429206819866,0.818576388888889,0.7169972831143696
SFinter-SFsup_right,0.8962194217939214,0.8210069444444444,0.7771409430942722
SFmarginal-SFinfant_left,0.900963676797628,0.8730324074074075,0.7759499795303136
SFmarginal-SFinfant_right,0.9467753891771684,0.8790509259259259,0.8009229967620677
SFmedian-SFpoltr-SFsup_left,0.921423276501112,0.8368055555555556,0.7446499683650304
SFmedian-SFpoltr-SFsup_right,0.8969607116382505,0.7973379629629629,0.7080650563846813
SOr-SOlf_left,0.879614529280949,0.8531250000000001,0.7944471323830437
SOr-SOlf_right,0.8587101556708673,0.8189814814814814,0.7845844653690126
SOr_left,0.8665678280207562,0.852199074074074,0.7851055119282444
SOr_right,0.8907338769458859,0.8145833333333334,0.7839145483642859
SPeC_left,0.8822831727205338,0.803125,0.7236592355502625
SPeC_right,0.8465530022238695,0.7501157407407407,0.7225427072090512
SPoC_left,0.935063009636768,0.8743055555555556,0.7460642375972311
SPoC_right,0.8988880652335063,0.8226273148148148,0.7430123934645875
STi-SOTlat_left,0.9353595255744996,0.9041666666666668,0.8368007741263166
STi-SOTlat_right,0.9243884358784284,0.909085648148148,0.8337117123822992
STi-STs-STpol_left,0.9138621200889548,0.886574074074074,0.8146935129703374
STi-STs-STpol_right,0.9307635285396588,0.8993055555555556,0.8413785403252819
STs_left,0.8889547813194959,0.8407407407407408,0.7578250027913208
STs_right,0.9150481838398814,0.8662615740740741,0.8192340615579292
STsbr_left,0.9003706449221646,0.8336805555555555,0.7553314228292828
STsbr_right,0.926315789473684,0.8099537037037038,0.7468830250474525
ScCal-SLi_left,0.8842105263157894,0.85,0.74394283374893
ScCal-SLi_right,0.9220163083765752,0.8504050925925924,0.7797833935018051
SsP-SPaint_left,0.9061527057079316,0.8686342592592592,0.7991737690275038
SsP-SPaint_right,0.8794662713120829,0.8687499999999999,0.8116044512263202
fronto-parietal_medial_face_left,0.8858413639733136,0.8382523148148149,0.8047564107335591
fronto-parietal_medial_face_right,0.936842105263158,0.7909722222222223,0.78566377609885
